,metro_area,postal_code,median_sale_price,house_count
376,"Las Vegas,NV",89142,370500.0,62
377,"Las Vegas,NV",89143,328694.5,2
378,"Las Vegas,NV",89144,621000.0,45
379,"Las Vegas,NV",89145,348000.0,45
380,"Las Vegas,NV",89146,375000.0,26
381,"Las Vegas,NV",89147,377500.0,80
382,"Las Vegas,NV",89148,490000.0,103
383,"Las Vegas,NV",89149,440000.0,105
384,"Las Vegas,NV",89156,427990.0,82
385,"Las Vegas,NV",89158,485000.0,9
386,"Las Vegas,NV",89166,540428.0,86
387,"Las Vegas,NV",89169,261682.0,29
388,"Las Vegas,NV",89178,486000.0,94
389,"Las Vegas,NV",89179,515000.0,19
390,"Las Vegas,NV",89183,411000.0,56
391,"Long Beach,CA",90755,790000.0,1
392,"Long Beach,CA",90802,546000.0,160
393,"Long Beach,CA",90803,1250000.0,117
394,"Long Beach,CA",90804,804075.0,52
395,"Long Beach,CA",90805,705000.0,99
396,"Long Beach,CA",90806,769000.0,38
397,"Long Beach,CA",90807,925000.0,71
398,"Long Beach,CA",90808,1000000.0,125
399,"Long Beach,CA",90810,675000.0,35
400,"Long Beach,CA",90813,675000.0,61
401,"Long Beach,CA",90814,934500.0,52
402,"Long Beach,CA",90815,950000.0,126
403,"Louisville,KY",40118,209000.0,1
404,"Louisville,KY",40203,85000.0,10
405,"Louisville,KY",40204,191000.0,16
406,"Louisville,KY",40205,285500.0,18
407,"Louisville,KY",40206,220000.0,15
408,"Louisville,KY",40207,315000.0,17
409,"Louisville,KY",40208,85000.0,7
410,"Louisville,KY",40209,90625.0,3
411,"Louisville,KY",40210,47820.0,9
412,"Louisville,KY",40211,95000.0,20
413,"Louisville,KY",40212,88000.0,15
414,"Louisville,KY",40213,122500.0,20
415,"Louisville,KY",40214,142000.0,62
416,"Louisville,KY",40215,67500.0,19
417,"Louisville,KY",40216,160000.0,50
418,"Louisville,KY",40217,157500.0,20
419,"Louisville,KY",40218,126000.0,18
420,"Louisville,KY",40219,146000.0,26
421,"Louisville,KY",40220,240000.0,26
422,"Louisville,KY",40222,210000.0,5
423,"Louisville,KY",40223,308000.0,26
424,"Louisville,KY",40228,175000.0,16
425,"Louisville,KY",40229,185000.0,21
426,"Louisville,KY",40241,325000.0,17
427,"Louisville,KY",40242,205000.0,8
428,"Louisville,KY",40243,280000.0,11
429,"Louisville,KY",40245,401120.0,41
430,"Louisville,KY",40258,145000.0,31
431,"Louisville,KY",40272,153000.0,28
432,"Louisville,KY",40291,320400.0,58
433,"Louisville,KY",40299,240000.0,33
434,"Memphis,TN",38111,169290.0,1
435,"Memphis,TN",38122,200000.0,1
436,"Mesa,AZ",85201,350000.0,167
437,"Mesa,AZ",85202,405000.0,147
438,"Mesa,AZ",85203,475000.0,118
439,"Mesa,AZ",85204,425000.0,194
440,"Mesa,AZ",85205,379450.0,302
441,"Mesa,AZ",85206,400000.0,229
442,"Mesa,AZ",85207,523500.0,285
443,"Mesa,AZ",85208,315000.0,259
444,"Mesa,AZ",85209,439600.0,269
445,"Mesa,AZ",85210,397500.0,116
446,"Mesa,AZ",85212,627500.0,320
447,"Mesa,AZ",85213,530000.0,134
448,"Mesa,AZ",85215,465000.0,115
449,"Miami,FL",33015,253500.0,3
450,"Miami,FL",33018,798721.0,1
451,"Miami,FL",33031,310000.0,1
452,"Miami,FL",33032,640000.0,3
453,"Miami,FL",33033,278900.0,1
454,"Miami,FL",33122,1400000.0,1
455,"Miami,FL",33125,400000.0,78
456,"Miami,FL",33126,289000.0,67
457,"Miami,FL",33127,525000.0,57
458,"Miami,FL",33128,270000.0,9
459,"Miami,FL",33129,600000.0,82
460,"Miami,FL",33130,575000.0,195
461,"Miami,FL",33131,640000.0,297
462,"Miami,FL",33132,550000.0,179
463,"Miami,FL",33133,1350000.0,140
464,"Miami,FL",33134,607500.0,38
465,"Miami,FL",33135,684500.0,36
466,"Miami,FL",33136,317500.0,16
467,"Miami,FL",33137,660000.0,201
468,"Miami,FL",33138,581500.0,74
469,"Miami,FL",33139,350000.0,5
470,"Miami,FL",33140,2250000.0,2
471,"Miami,FL",33141,435000.0,4
472,"Miami,FL",33142,375000.0,83
473,"Miami,FL",33143,1187500.0,54
474,"Miami,FL",33144,527500.0,40
475,"Miami,FL",33145,650000.0,56
476,"Miami,FL",33146,572500.0,2
477,"Miami,FL",33147,348500.0,96
478,"Miami,FL",33150,362500.0,40
479,"Miami,FL",33155,650000.0,81
480,"Miami,FL",33156,442500.0,50
481,"Miami,FL",33157,460000.0,63
482,"Miami,FL",33161,489000.0,23
483,"Miami,FL",33162,361500.0,18
484,"Miami,FL",33165,580000.0,75
485,"Miami,FL",33166,750000.0,1
486,"Miami,FL",33167,385000.0,25
487,"Miami,FL",33168,487500.0,28
488,"Miami,FL",33169,245000.0,36
489,"Miami,FL",33170,422500.0,46
490,"Miami,FL",33172,250000.0,54
491,"Miami,FL",33173,505250.0,78
492,"Miami,FL",33174,450000.0,45
493,"Miami,FL",33175,435000.0,91
494,"Miami,FL",33176,452500.0,117
495,"Miami,FL",33177,476000.0,103
496,"Miami,FL",33178,1050000.0,3
497,"Miami,FL",33179,215000.0,136
498,"Miami,FL",33180,550000.0,29
499,"Miami,FL",33181,370000.0,15
500,"Miami,FL",33182,540000.0,23
501,"Miami,FL",33183,350000.0,66
502,"Miami,FL",33184,310000.0,31
503,"Miami,FL",33185,590000.0,62
504,"Miami,FL",33186,469950.0,130
505,"Miami,FL",33187,600000.0,50
506,"Miami,FL",33189,415000.0,3
507,"Miami,FL",33190,478750.0,10
508,"Miami,FL",33193,376000.0,84
509,"Miami,FL",33194,467000.0,5
510,"Miami,FL",33196,510000.0,130
511,"Milwaukee,WI",53027,49500.0,1
512,"Milwaukee,WI",53202,300000.0,167
513,"Milwaukee,WI",53203,245000.0,9
514,"Milwaukee,WI",53204,144950.0,112
515,"Milwaukee,WI",53205,81750.0,30
516,"Milwaukee,WI",53206,55000.0,168
517,"Milwaukee,WI",53207,270000.0,223
518,"Milwaukee,WI",53208,155000.0,116
519,"Milwaukee,WI",53209,110000.0,214
520,"Milwaukee,WI",53210,125750.0,166
521,"Milwaukee,WI",53211,355000.0,76
522,"Milwaukee,WI",53212,206000.0,150
523,"Milwaukee,WI",53213,263500.0,38
524,"Milwaukee,WI",53214,201500.0,70
525,"Milwaukee,WI",53215,170000.0,164
526,"Milwaukee,WI",53216,135000.0,173
527,"Milwaukee,WI",53217,440000.0,11
528,"Milwaukee,WI",53218,138000.0,245
529,"Milwaukee,WI",53219,225000.0,131
530,"Milwaukee,WI",53220,254000.0,62
531,"Milwaukee,WI",53221,238050.0,120
532,"Milwaukee,WI",53222,215000.0,197
533,"Milwaukee,WI",53223,128050.0,96
534,"Milwaukee,WI",53224,205000.0,97
535,"Milwaukee,WI",53225,167500.0,129
536,"Milwaukee,WI",53226,301000.0,21
537,"Milwaukee,WI",53227,247500.0,32
538,"Milwaukee,WI",53228,266500.0,28
539,"Milwaukee,WI",53233,135000.0,7
540,"Milwaukee,WI",53235,299500.0,1
541,"Minneapolis,MN",55401,354950.0,98
542,"Minneapolis,MN",55403,250000.0,71
543,"Minneapolis,MN",55404,302250.0,78
544,"Minneapolis,MN",55405,450000.0,79
545,"Minneapolis,MN",55406,360000.0,207
546,"Minneapolis,MN",55407,333000.0,187
547,"Minneapolis,MN",55408,388000.0,146
548,"Minneapolis,MN",55409,360000.0,57
549,"Minneapolis,MN",55410,645000.0,130
550,"Minneapolis,MN",55411,260500.0,124
551,"Minneapolis,MN",55412,230000.0,162
552,"Minneapolis,MN",55413,375000.0,56
553,"Minneapolis,MN",55414,405500.0,64
554,"Minneapolis,MN",55415,439900.0,73
555,"Minneapolis,MN",55416,453000.0,60
556,"Minneapolis,MN",55417,361750.0,166
557,"Minneapolis,MN",55418,358000.0,143
558,"Minneapolis,MN",55419,500000.0,147
559,"Minneapolis,MN",55420,345000.0,5
560,"Minneapolis,MN",55421,252500.0,3
561,"Minneapolis,MN",55422,357500.0,13
562,"Minneapolis,MN",55423,390500.0,16
563,"Minneapolis,MN",55424,1500000.0,3
564,"Minneapolis,MN",55425,332500.0,4
565,"Minneapolis,MN",55426,425000.0,22
566,"Minneapolis,MN",55427,332000.0,3
567,"Minneapolis,MN",55428,300000.0,5
568,"Minneapolis,MN",55429,285100.0,7
569,"Minneapolis,MN",55430,253250.0,58
570,"Minneapolis,MN",55431,357500.0,10
571,"Minneapolis,MN",55432,465000.0,2
572,"Minneapolis,MN",55433,515.0,1
573,"Minneapolis,MN",55434,358433.0,1
574,"Minneapolis,MN",55435,167456.0,3
575,"Minneapolis,MN",55436,1048000.0,3
576,"Minneapolis,MN",55437,435000.0,9
577,"Minneapolis,MN",55438,450000.0,5
578,"Minneapolis,MN",55441,510000.0,4
579,"Minneapolis,MN",55442,313300.0,1
580,"Minneapolis,MN",55443,361000.0,11
581,"Minneapolis,MN",55444,314750.0,4
582,"Minneapolis,MN",55445,220000.0,5
583,"Minneapolis,MN",55446,883934.0,9
584,"Minneapolis,MN",55447,474950.0,4
585,"Minneapolis,MN",55448,204000.0,2
586,"Minneapolis,MN",55449,445794.0,1
587,"Minneapolis,MN",55454,225000.0,3
588,"Nashville,TN",37013,358675.0,108
589,"Nashville,TN",37015,50000.0,1
590,"Nashville,TN",37027,650000.0,45
591,"Nashville,TN",37072,402000.0,12
592,"Nashville,TN",37076,427450.0,72
593,"Nashville,TN",37080,405000.0,11
594,"Nashville,TN",37115,334500.0,70
595,"Nashville,TN",37122,528500.0,2
596,"Nashville,TN",37135,478750.0,8
597,"Nashville,TN",37138,349900.0,45
598,"Nashville,TN",37143,410000.0,1
599,"Nashville,TN",37189,378450.0,8
600,"Nashville,TN",37201,985000.0,4
601,"Nashville,TN",37203,700000.0,61
602,"Nashville,TN",37204,1146200.0,39
603,"Nashville,TN",37205,950000.0,56
604,"Nashville,TN",37206,622745.0,76
605,"Nashville,TN",37207,375000.0,82
